modeldate,Unnamed: 0,text,retweet_count,favorite_count,approve_estimate,disapprove_estimate
3/18/2021,56,"RT @POTUS: Jill and I are keeping everyone impacted by the shootings in Atlanta in our prayers. We don’t yet know the motive, but what we d…",11501,0,54.03611899999999,39.985409000000004
3/16/2021,57,"RT @WhiteHouse: Across the country, millions of small businesses are struggling to keep their doors open. Here’s a breakdown of how the Ame…",2000,0,53.886280000000006,40.134543
3/16/2021,58,RT @POTUS: That’s the American Rescue Plan. https://t.co/7pE89mi4C6,3631,0,53.886280000000006,40.134543
3/15/2021,59,"RT @WHCOVIDResponse: Over the weekend, we administered nearly 6 million doses of the COVID-19 vaccine. 

Today, for the first time on a Mon…",1679,0,53.846773999999996,40.185976000000004
3/15/2021,60,"RT @POTUS: Last week, I signed the American Rescue Plan into law and direct payments have begun going out to folks across the country. I kn…",3399,0,53.846773999999996,40.185976000000004
3/14/2021,61,RT @WhiteHouse: The Biden-Harris Administration has been working around the clock to get America vaccinated. We’ve doubled daily vaccinatio…,3584,0,54.065952,40.104361
3/14/2021,62,"It matters whether you continue to wear a mask.  
It matters whether you continue to socially distance.  
It matters whether you wash your hands.  

It all matters and can help save lives.",32145,244082,54.065952,40.104361
3/13/2021,63,RT @POTUS: To everyone out there who’s hurting or struggling to get by: help is here. https://t.co/fkME0yMmBK,4221,0,53.15484300000001,40.274014
3/13/2021,64,"The American Rescue Plan means a $7,000 check for a single mom of four. It means more support to safely and quickly reopen schools. It means setting up additional vaccination sites to help America get back to normal. 

What does the American Rescue Plan mean to you?",11910,132019,53.15484300000001,40.274014
3/12/2021,65,"RT @POTUS: This afternoon, I’m joining Vice President Harris and members of Congress to celebrate the passage of the American Rescue Plan.…",3320,0,53.15484300000001,40.274014
3/12/2021,66,"85% of American households will get direct checks from the American Rescue Plan.

For so many Americans, that means they can pay the rent. That means they can put food on the table.  

Share below what the American Rescue Plan will do for you.",15573,155028,53.15484300000001,40.274014
3/12/2021,67,RT @POTUS: All adult Americans will be eligible to get the vaccine no later than May 1.,27127,0,53.15484300000001,40.274014
3/11/2021,68,"RT @POTUS: Before I took office, I promised you that help was on the way. Today, I signed the American Rescue Plan into law, and can offici…",12575,0,53.043988,40.254456
3/10/2021,69,"RT @WhiteHouse: From $1,400 checks and unemployment relief to vaccines for every American — help is here. https://t.co/R0AYaTbkTV",3252,0,52.958771999999996,39.278535999999995
3/10/2021,70,RT @POTUS: Help is here. https://t.co/urZCiigeS1,9839,0,52.958771999999996,39.278535999999995
3/10/2021,71,"RT @POTUS: Keep the faith, folks. We will get through this. https://t.co/AMlyu4pU6M",5438,0,52.958771999999996,39.278535999999995
2/28/2021,89,"RT @POTUS: The more people that get vaccinated, the faster we will beat this pandemic. That’s why one of my first goals is to administer 10…",13163,0,54.40393100000001,38.308259
2/28/2021,90,"RT @POTUS: Yesterday I traveled to Texas to visit an emergency operations center, food bank, and vaccination site. Each stop represented ou…",7747,0,54.40393100000001,38.308259
2/27/2021,91,RT @WhiteHouse: Erica is a nurse in New York City and runs COVID-19 testing at one of the hardest-hit hospitals in the country. President B…,2128,0,54.40393100000001,38.308259
2/26/2021,92,"RT @POTUS: The week before I took office, 6 million COVID-19 vaccine shots were administered.

This coming week, our Administration will li…",8931,0,54.40393100000001,38.308259
2/26/2021,93,"RT @POTUS: COVID-19 vaccinations are up and cases and hospitalizations are down, but let me be clear: now is not the time to relax. https:/…",4983,0,54.40393100000001,38.308259
2/26/2021,94,"RT @POTUS: Transgender rights are human rights — and the House made that clear today by passing the Equality Act. 

Now it's time for the S…",22133,0,54.40393100000001,38.308259
2/25/2021,95,RT @POTUS: I am pleased that the House will vote next week on the George Floyd Justice in Policing Act. I encourage the House to pass it. F…,11124,0,54.479156999999994,38.203959999999995
2/25/2021,96,"RT @WhiteHouse: On Friday, President Biden toured a Pfizer manufacturing plant in Michigan to see the vaccine production process firsthand…",1657,0,54.479156999999994,38.203959999999995
2/24/2021,97,"RT @POTUS: When I met with Prime Minister @JustinTrudeau in 2016, I said the world needed more leaders like him. A lot has changed since th…",6274,0,54.264025,38.116707
2/24/2021,98,"RT @POTUS: Small businesses need relief, but many were muscled out of the way by big companies last year. That’s why starting today, we’re…",4493,0,54.264025,38.116707
2/23/2021,99,RT @JoeBiden: We need a president who is respected on the world stage. https://t.co/Hqv6T06Mtv,4036,0,54.406797999999995,38.048187
2/23/2021,100,"RT @POTUS: We will get through this, I promise you. https://t.co/dtmi4C9WsM",6801,0,54.406797999999995,38.048187
2/23/2021,101,"RT @POTUS: 500,000 lives lost to COVID-19. It’s an unfathomable number, but each one represents a family that will never again be whole. To…",13752,0,54.406797999999995,38.048187
2/22/2021,102,"RT @POTUS: I know folks have a lot of questions about COVID-19 mutations, our vaccination progress, and much more. @CDCDirector Dr. Walensk…",3021,0,54.732806000000004,38.137972
2/22/2021,103,"RT @POTUS: If there’s one message I want to cut through to everyone in this country, it’s this: The vaccines are safe.

For yourself, your…",16665,0,54.732806000000004,38.137972
2/21/2021,104,"RT @POTUS: Today would have been Congressman John Lewis’ 81st birthday. While my dear friend may no longer be with us, his life and legacy…",14595,0,54.452566000000004,38.11517
2/21/2021,105,RT @POTUS: Overcoming the COVID-19 pandemic needs to be our top priority as a nation. I joined members of my team to talk about our plan to…,5212,0,54.452566000000004,38.11517
2/20/2021,106,"RT @POTUS: The federal government has sent generators, blankets, water, and other critical supplies to Texas, but local organizations on th…",8586,0,54.452566000000004,38.11517
2/20/2021,107,"RT @POTUS: On Thursday, I joined the world and watched in awe as the Perseverance Rover touched down on the surface of Mars. It was a remar…",6896,0,54.452566000000004,38.11517
2/19/2021,108,"RT @POTUS: Today, America is officially back in the Paris Climate Agreement. Let’s get to work.",34808,0,54.452566000000004,38.11517
2/19/2021,109,"RT @POTUS: The Equality Act provides long overdue federal civil rights protections for LGBTQ+ Americans, preventing discrimination in our h…",9985,0,54.452566000000004,38.11517
2/18/2021,110,"RT @WhiteHouse: Texas — If you’re without heat, head to https://t.co/5WhFEK6B8u to find a warming shelter near you or call 211 for addition…",11095,0,54.449369,37.84585
2/18/2021,111,"RT @POTUS: Jill and I are keeping Texas, Oklahoma, and other impacted states in our prayers. I’ve declared states of emergency, authorized…",21709,0,54.449369,37.84585
2/18/2021,112,"RT @POTUS: Today I announced our Administration will:

- Expand COVID-19 testing for schools and underserved communities
- Increase manufac…",5870,0,54.449369,37.84585
2/17/2021,113,RT @WhiteHouse: The Biden-Harris Administration opened a special enrollment period to ensure every American has the opportunity to sign up…,2094,0,54.45779399999999,37.774734
2/17/2021,114,"RT @POTUS: I know COVID-19 can be scary, but I want every kid out there to know things are going to be okay. https://t.co/wZIxHeNAFa",5806,0,54.45779399999999,37.774734
2/17/2021,115,"RT @POTUS: Tonight, I’ll be answering questions at my first town hall since taking office. Make sure to tune in to CNN at 9 PM ET / 8 PM CT…",4211,0,54.45779399999999,37.774734
2/16/2021,116,"RT @POTUS: Starting this week, our Administration is:

- Increasing weekly vaccine shipments to states to 13.5 million doses — a 57% increa…",10898,0,54.841579,37.396302
2/16/2021,117,"RT @POTUS: Before I took office, I set a big goal of administering 100 million shots in the first 100 days. With the progress we’re making…",21495,0,54.841579,37.396302
2/14/2021,118,"RT @POTUS: The love of my life and the life of my love. Happy Valentine’s Day, Jilly. https://t.co/LjLLIjvP1C",22193,0,54.442678,37.233457
2/14/2021,119,"RT @POTUS: Three years ago today, a lone gunman took the lives of 14 students and three educators in Parkland, Florida. In seconds, the liv…",11598,0,54.442678,37.233457
2/13/2021,120,"RT @POTUS: Samir and Neal own NaanStop in Atlanta, Georgia — and like many small businesses around the country, they’ve been hit hard by th…",5473,0,54.442678,37.233457
2/13/2021,121,RT @POTUS: I know the last year has been difficult and painful for all of us. I hope Jill’s Valentine’s Day message helped brighten your da…,17207,0,54.442678,37.233457
2/12/2021,122,"RT @POTUS: From the Biden family to yours, happy #LunarNewYear. We wish you happiness, health, and prosperity in the Year of the Ox. https:…",12552,0,54.441821,37.233365
2/12/2021,123,"RT @POTUS: I see enormous pain in this country. A lot of folks are out of work. A lot of folks are going hungry, staring at the ceiling at…",5543,0,54.441821,37.233365
2/11/2021,124,RT @POTUS: No child should grow up in poverty. The American Rescue Plan will expand the child tax credit and cut the child poverty rate in…,6968,0,54.253094999999995,37.143570000000004
2/11/2021,125,"RT @POTUS: We can reduce suffering in this country, put people back to work, and gain control of this virus.

That’s what the American Resc…",7024,0,54.253094999999995,37.143570000000004
2/11/2021,126,"RT @POTUS: The risk isn't that we do too much when it comes to a COVID relief package — it's that we don't do enough.

We have to go big.",16531,0,54.253094999999995,37.143570000000004
2/10/2021,127,RT @POTUS: Let me be clear: No one should lose their home in the middle of this pandemic. Congress needs to pass the American Rescue Plan t…,8594,0,54.289854000000005,37.104729999999996
1/31/2021,146,"RT @POTUS: Over the last 10 days, I’ve taken action on:

- COVID-19
- The economy
- Climate change
- Racial equity
- Immigration
- Health c…",32060,0,54.281215,34.557801
1/27/2021,147,"RT @POTUS: This afternoon, I’ll be taking action to meet the climate crisis with the urgency it demands. Tune in. https://t.co/TaCmltDZ6X",7025,0,53.949071999999994,35.09413
1/24/2021,148,"RT @POTUS: We’re facing a historic moment in our nation’s history — one that requires bold and swift action. That’s why this week, I took h…",14642,0,52.9743,36.03907
1/24/2021,149,"RT @POTUS: We will get through this, together. https://t.co/W03wlb2m8o",11093,0,52.9743,36.03907
1/23/2021,150,RT @POTUS: Federal employees have dedicated their careers to serving the American people — and they are worthy of the utmost dignity and re…,15018,0,52.9743,36.03907
1/23/2021,151,"RT @POTUS: I know times are tough, but help is on the way. https://t.co/BVi3b6NoBv",8755,0,52.9743,36.03907
1/23/2021,152,"RT @POTUS: This afternoon, I’ll be taking action to provide much-needed relief to communities and small businesses impacted by COVID-19. Tu…",5923,0,52.9743,36.03907
1/23/2021,153,"RT @POTUS: As we mark the 48th anniversary of Roe v. Wade, now is the time to rededicate ourselves to the work ahead. From codifying Roe to…",11622,0,52.9743,36.03907
1/23/2021,154,RT @POTUS: I’m grateful for the Senate’s continued bipartisanship and swift confirmation of Lloyd Austin. His confirmation is historic — an…,6018,0,52.9743,36.03907
